Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\BackOffice.Api.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.15,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.15  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\BackOffice.Api.csproj,,,Microsoft.AspNetCore.SignalR 1.2.9,,,,,"Microsoft.AspNetCore.SignalR, 1.2.9  Recommendation:  Remove Microsoft.AspNetCore.SignalR, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\BackOffice.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,45,0,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var corsOrigins = builder.Configuration.GetSection(""Cors:AllowedOrigins"").Get<string[]>()      ?? [""http://localhost:5173"", ""https://localhost:5173""];"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,37,16,P:Microsoft.AspNetCore.Authentication.JwtBearer.MessageReceivedContext.Token,,,,,context.Token = accessToken;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,29,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents.OnMessageReceived,,,,,"options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,29,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents,,,,,"options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,29,4,M:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents.#ctor,,,,,"options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,29,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents,,,,,"options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,29,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.Events,,,,,"options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,27,0,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,"builder.Services.Configure<JwtBearerOptions>(JwtBearerDefaults.AuthenticationScheme, options =>  {      options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,27,0,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,"builder.Services.Configure<JwtBearerOptions>(JwtBearerDefaults.AuthenticationScheme, options =>  {      options.Events = new JwtBearerEvents      {          OnMessageReceived = context =>          {              var accessToken = context.Request.Query[""access_token""];              var path = context.HttpContext.Request.Path;              if (!string.IsNullOrEmpty(accessToken) && path.StartsWithSegments(""/hubs""))              {                  context.Token = accessToken;              }              return Task.CompletedTask;          }      };  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,23,0,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme)      .AddMicrosoftIdentityWebApi(builder.Configuration.GetSection(""AzureAd""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BackOffice.Api\BackOffice.Api.csproj,File,BackOffice.Api\Program.cs,23,0,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme)      .AddMicrosoftIdentityWebApi(builder.Configuration.GetSection(""AzureAd""));"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BackOffice.Application\BackOffice.Application.csproj,File,BackOffice.Application\BackOffice.Application.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BackOffice.Domain\BackOffice.Domain.csproj,File,BackOffice.Domain\BackOffice.Domain.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BackOffice.Infrastructure\BackOffice.Infrastructure.csproj,File,BackOffice.Infrastructure\BackOffice.Infrastructure.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BackOffice.IntegrationTests\BackOffice.IntegrationTests.csproj,File,BackOffice.IntegrationTests\BackOffice.IntegrationTests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.15,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.15  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BackOffice.IntegrationTests\BackOffice.IntegrationTests.csproj,File,BackOffice.IntegrationTests\BackOffice.IntegrationTests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
